支	tsɿ1	～付 ～派 宗～
資	tsɿ1	～本～財
貲	tsɿ1	同資
訾	tsɿ1	比量 又毀也
姿	tsɿ1	～色 丰～ 又態也
恣	tsɿ1	肆也
𡙛	tsɿ1	大也
榰	tsɿ1	柱下根也 古用木 今用石
淄	tsɿ1	水名 又黑色也
䝷	tsɿ1	𥂁商人曰～商
㿳	tsɿ1	黑～～
咨	tsɿ1	嘆也 謀也 又～文
諮	tsɿ1	同咨 又～議 又問也
茲	tsɿ1	此也
滋	tsɿ1	～潤 ～澤
𤂇	tsɿ1	同滋
觜	tsɿ1	星名 二十八宿之一 又同嘴
錙	tsɿ1	～銖 八兩也
鎡	tsɿ1	～基 田器也
嗞	tsɿ1	嗟也
孜	tsɿ1	勤也 猶也
𪗋	tsɿ1	衣下縫也
孳	tsɿ1	生意也
緇	tsɿ1	黑色
禔	tsɿ1	福也 安也 又音提
胾	tsɿ1	殽～
眥	tsɿ1	目厓也 本音寄
㠿	tsɿ1	布也
輜	tsɿ1	車也 又重也
髭	tsɿ1	口上鬍也
鼒	tsɿ1	鼎上蓋也
粢	tsɿ1	稷也
汥	tsɿ1	水分流也
玆	tsɿ1	黑色
趦	tsɿ1	～趄 行不前也
枝	tsɿ1	～葉
𢙊	tsɿ1	同恣
胔	tsɿ1	腐肉曰～
𥝮	tsɿ1	穗生也
肢	tsɿ1	人之手足曰～ 又腰～
脂	tsɿ1	～膏 又胭～
𧹛	tsɿ1	𧹬～
𧹛	tsɿ1	𧹬～
巵	tsɿ1	酒器 又春～酒
梔	tsɿ1	～子花 又染黃色 又果名
漬	tsɿ1	浸也 又漚也
淄	tsɿ1	水名 如漆
之	tsɿ1	往也 又虛字 又收尾文也
知	tsɿ1	～覺 又去聲
㲍	tsɿ1	輕毛
搘（⿰扌⿱老土）	tsɿ1	～𥪡 ～車
菑	tsɿ1	～畬 治田一歲曰～ 治田三歲曰畬
芝	tsɿ1	～蘭
𦙆	tsɿ1	皮厚也
䟗	tsɿ1	踐也
𤰭	tsɿ1	耕也 又犂也
椔	tsɿ1	木立死也
齍	tsɿ1	黍稷也
𪑿	tsɿ1	黑～～
齜	tsɿ1	～牙
𠀢	tsɿ1	定也
㞢	tsɿ1	出也 是也 往也
姕	tsɿ1	婦人不媚貌
吱	tsɿ1	～唔 言語不明也
